"NamespacePrefix","LocalTerm","Literal","Definition"
"aamva_d20","AAMVA","American Association of Motor Vehicle Administrators",""
"aamva_d20","ACD","AAMVA Code Dictionary",""
"aamva_d20","CDL","Commercial Driver's License",""
"aamva_d20","CFR","","Code of Federal Regulations"
"aamva_d20","CMV","Commercial Motor Vehicle",
"aamva_d20","D20","","Standard for Traffic Records Systems"
"aamva_d20","HazMat","Hazardous Materials",
"aamva_d20","HME","Hazardous Material Endorsement",""
"aamva_d20","TSA","Transportation Security Administration",""
"ag","ACRSI","Acreage and Crop Reporting Streamlining Initiative",
"ag","AIP","Approved Insurance Provider",""
"ag","ANSI","American National Standards Institute",
"ag","CLU","Common Land Unit",
"ag","CM","Common Management",""
"ag","CVT","Commodity Validation Table",
"ag","FIPS","Federal Information Processing Standards",""
"ag","FSA","Farm Service Agency",
"ag","GML","Geography Markup Language",""
"ag","INCITS","InterNational Committee for Information Technology Standards",""
"ag","MICS","Mobile Implement Control System",
"ag","NRCS","Natural Resources Conservation Service",""
"ag","RMA","Risk Management Agency",
"ag","SCIMS","Service Center Information Management System",""
"ag","USDA","United States Department of Agriculture",""
"ag_codes","CLU","Common land unit",""
"ag_codes","CVT","Crop Validation Table",""
"ag_codes","FSA","Farm Service Agency",""
"ag_codes","NRCS","National Resources Conservation Service",""
"ag_codes","RMA","Risk Management Agency",""
"biom","3D","Three-dimensional",
"biom","ADA","American Dental Association",
"biom","ANSI","American National Standards Institute",""
"biom","autosomal","","Pertaining to a chromosome that is not a sex chromosome."
"biom","AVI","Audio Video Interleaved",""
"biom","CBEFF","Common Biometric Exchange Formats Framework",""
"biom","Cheiloscopic","","Cheiloscopy is a forensic investigation technique that deals with identification of humans based on lips traces."
"biom","CSP","Color spaces",""
"biom","Diarization","","The process of partitioning an input audio stream into homogeneous segments according to the speaker identity."
"biom","DII","Diarization Indicator",""
"biom","DNA","Deoxyribonucleic acid",
"biom","DNASTR","Deoxyribonucleic acid short tandem repeat",
"biom","EFS","Extended Feature Set",""
"biom","EJI","Entire Joint Image",""
"biom","EJIs","Entire Joint Image",""
"biom","Electropherogram","","A record or chart produced when electrophoresis is used in an analytical technique, primarily in the fields of molecular biology or biochemistry."
"biom","FTF","free text field",""
"biom","FTO","feature - field occurrence",""
"biom","GENC","Geopolitical Entities, Names, and Codes (GENC) Standard",
"biom","HV","Hypervariable",""
"biom","IEC","International Electrotechnical Commission",""
"biom","INCITS","InterNational Committee for Information Technology Standards",""
"biom","ISO","International Organization for Standardization",""
"biom","ITL","Information Technology Laboratory",""
"biom","MISC","Miscellaneous",""
"biom","Mito","Mitochondrial",
