"TypeNamespacePrefix","TypeName","QualifiedType","PropertyNamespacePrefix","PropertyName","QualifiedProperty","MinOccurs","MaxOccurs","Definition"
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","ag","CropYearValue","ag:CropYearValue","1","1",""
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","ag","OriginatorIdentificationID","ag:OriginatorIdentificationID","1","1",""
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","ag","CustomerInfo","ag:CustomerInfo","1","unbounded",""
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","ag","FarmCropAcreage","ag:FarmCropAcreage","1","unbounded",""
"ag","AcreageSubmissionFileType","ag:AcreageSubmissionFileType","ag","AcreageSubmissionFileAugmentationPoint","ag:AcreageSubmissionFileAugmentationPoint","0","unbounded",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","fips","StateCode","fips:StateCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","fips","CountyCode","fips:CountyCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","SubfieldNumberID","ag:SubfieldNumberID","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","CoreProductCode","ag:CoreProductCode","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","CoreProductCategoryCode","ag:CoreProductCategoryCode","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ProductIntendedUseCode","ag:ProductIntendedUseCode","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","OriginalReportedAcreageValue","ag:OriginalReportedAcreageValue","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","FinalReportedAcreageValue","ag:FinalReportedAcreageValue","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ReportedAcreageModifiedIndicator","ag:ReportedAcreageModifiedIndicator","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ReportedAcreageModifiedReasonCode","ag:ReportedAcreageModifiedReasonCode","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","ReportedAcreageModifiedOtherReasonText","ag:ReportedAcreageModifiedOtherReasonText","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","AcreageCalculationProjectionCode","ag:AcreageCalculationProjectionCode","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","OriginalPlantedDate","ag:OriginalPlantedDate","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","FinalPlantedDate","ag:FinalPlantedDate","0","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","PlantedDateModifiedIndicator","ag:PlantedDateModifiedIndicator","1","1",""
"ag","AgricultureProductionPlanType","ag:AgricultureProductionPlanType","ag","PlantedDateModifiedReasonCode","ag:PlantedDateModifiedReasonCode","0","1",""
