"NamespacePrefix","GlossaryTerm","GlossaryLiteral","GlossaryDefinition"
"aamva_d20","CMV","Commercial Motor Vehicle",
"aamva_d20","HazMat","Hazardous Materials",
"ag","ACRSI","Acreage and Crop Reporting Streamlining Initiative",
"ag","AIP","Approved Insurance Provider",""
"ag","ANSI","American National Standards Institute",
"ag","CLU","Common Land Unit",
"ag","CM","Common Management",""
"ag","CVT","Commodity Validation Table",
"ag","FIPS","Federal Information Processing Standards",""
"ag","FSA","Farm Service Agency",
"ag","INCITS","InterNational Committee for Information Technology Standards",""
"ag","MICS","Mobile Implement Control System",
"ag","NRCS","Natural Resources Conservation Service",""
"ag","RMA","Risk Management Agency",
"ag","SCIMS","Service Center Information Management System",""
"ag","USDA","United States Department of Agriculture",""
"biom","3D","Three-dimensional",
"biom","ADA","American Dental Association",
"biom","ANSI","American National Standards Institute",""
"biom","AVI","Audio Video Interleaved",""
"biom","CBEFF","Common Biometric Exchange Formats Framework",""
"biom","DNA","Deoxyribonucleic acid",
"biom","DNASTR","Deoxyribonucleic acid short tandem repeat",
"biom","EFS","Extended Feature Set",""
"biom","EJI","Entire Joint Image",""
"biom","FTF","free text field",""
"biom","GENC","Geopolitical Entities, Names, and Codes (GENC) Standard",
"biom","IEC","International Electrotechnical Commission",""
"biom","ISO","International Organization for Standardization",""
"biom","MISC","Miscellaneous",""
"biom","Mito","Mitochondrial",
"biom","NCIC","GlossaryLiteral
National Crime Information Center",""
"biom","NIST","National Institute of Standards and Technology",""
"biom","PHD","Photo Capture Date",""
"biom","ppi","Pixels per inch",""
"biom","ppmm","Pixels per millimeter",""
"biom","PUM","Position Uncertainty",""
"biom","SBCC","Subject Body Class Code",""
"biom","SBSC","Subject Body Status Code",""
"biom","SMS","Scar/Mark/Tattoo Size",""
"biom","SMT","Scars, Marks, and Tattoos",""
"biom","SPC","Speaker Plurality Code",""
"biom","STR","Short tandem repeat",""
"biom","TDD","Tooth data detail",""
"biom","UTC","Coordinated Universal Time",
"biom","VCD","Vocal content diary",""
"biom","VOC","Vocal Content",""
"biom","X-STR","Short tandem repeat (STR) on the X-chromosome",""
"biom","Y-STR","Short tandem repeat (STR) on the Y-chromosome",""
"cbrn","Bio","Biological",
"cbrn","CBRNE","Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
"cbrn","CC","cubic centimeter (cc) units",
"cbrn","Chem","Chemical",
"cbrn","CM","Centimeter",
"cbrn","CPS","Counts per second",
"cbrn","FWHM","Full width at half maximum",
"cbrn","Geo","Geographic",
"cbrn","KeV","Kiloelectronvolts",
"cbrn","MDA","minimum detectable activity",
"cbrn","MIME","Multipurpose Internet Mail Extensions",
"cbrn","mR","milliroentgen",
"cbrn","mRh","milliroentgen per hour (mR/h)",
"cbrn","n42Doc","N42 XML document",
"cbrn","UID","Unique Identifier",
"cbrn","uSv","microsieverts",
"cbrn","uSvh","microsieverts per hour (uSv/h)",
"cbrn","UTF8","UCS Transformation Format—8-bit",
"cbrn","UUID","Universally Unique Identifier",
"cbrn","X","The first dimension",
"cbrn","XY","A two dimensional array or pair of values for a data point",
