"TypeNamespacePrefix","TypeName","QualifiedType","PropertyNamespacePrefix","PropertyName","QualifiedProperty","MinOccurs","MaxOccurs","Definition","SequenceNumber"
"hs","AbuseNeglectInjuryType","hs:AbuseNeglectInjuryType","hs","AbuseNeglectHarmAgeText","hs:AbuseNeglectHarmAgeText","0","unbounded","",1
"hs","AbuseNeglectInjuryType","hs:AbuseNeglectInjuryType","hs","AbuseNeglectInjuryAugmentationPoint","hs:AbuseNeglectInjuryAugmentationPoint","0","unbounded","",9999
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicAssessmentEducation","j:AcademicAssessmentEducation","0","unbounded","",10
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicAssessmentGradePointLevelNumeric","j:AcademicAssessmentGradePointLevelNumeric","0","unbounded","",10
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicRecord","j:AcademicRecord","0","unbounded","",10
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicSubjectMatter","j:AcademicSubjectMatter","0","unbounded","",10
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicTestText","j:AcademicTestText","0","unbounded","",10
"j","AcademicAssessmentType","j:AcademicAssessmentType","j","AcademicAssessmentAugmentationPoint","j:AcademicAssessmentAugmentationPoint","0","unbounded","",9999
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordYearDate","j:AcademicRecordYearDate","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordCreditsEarnedNumeric","j:AcademicRecordCreditsEarnedNumeric","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordCreditsNeededNumeric","j:AcademicRecordCreditsNeededNumeric","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordDiplomaDescriptionText","j:AcademicRecordDiplomaDescriptionText","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordDiplomaReceivedDate","j:AcademicRecordDiplomaReceivedDate","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordExpelledFromSchoolIndicator","j:AcademicRecordExpelledFromSchoolIndicator","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordUnitsTotalNumeric","j:AcademicRecordUnitsTotalNumeric","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordRecordedDate","j:AcademicRecordRecordedDate","0","unbounded","",10
"j","AcademicRecordType","j:AcademicRecordType","j","AcademicRecordAugmentationPoint","j:AcademicRecordAugmentationPoint","0","unbounded","",9999
"j","AcademicSubjectMatterType","j:AcademicSubjectMatterType","j","AcademicSubjectMatterName","j:AcademicSubjectMatterName","0","unbounded","",10
"j","AcademicSubjectMatterType","j:AcademicSubjectMatterType","j","AcademicSubjectMatterText","j:AcademicSubjectMatterText","0","unbounded","",10
"j","AcademicSubjectMatterType","j:AcademicSubjectMatterType","j","AcademicSubjectMatterCreditsNumeric","j:AcademicSubjectMatterCreditsNumeric","0","unbounded","",10
"j","AcademicSubjectMatterType","j:AcademicSubjectMatterType","j","AcademicSubjectMatterAugmentationPoint","j:AcademicSubjectMatterAugmentationPoint","0","unbounded","",9999
"em","AccessType","em:AccessType","em","AccessRightDescriptionText","em:AccessRightDescriptionText","0","unbounded","",1
"em","AccessType","em:AccessType","em","PhysicalAccessLevelCode","em:PhysicalAccessLevelCode","0","unbounded","",2
"em","AccessType","em:AccessType","em","ElectronicAccessRightCode","em:ElectronicAccessRightCode","0","unbounded","",3
"em","AccessType","em:AccessType","nc","EffectiveDate","nc:EffectiveDate","0","unbounded","",4
"em","AccessType","em:AccessType","nc","ExpirationDate","nc:ExpirationDate","0","unbounded","",5
"em","AccessType","em:AccessType","em","AccessAugmentationPoint","em:AccessAugmentationPoint","0","unbounded","",9999
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","cbrn","AcknowledgingActivityName","cbrn:AcknowledgingActivityName","0","unbounded","",1
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","nc","SystemUserNameAbstract","nc:SystemUserNameAbstract","0","unbounded","",2
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","cbrn","TraversalOperatingModeAbstract","cbrn:TraversalOperatingModeAbstract","0","unbounded","",3
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","cbrn","AcknowledgementDateTime","cbrn:AcknowledgementDateTime","0","unbounded","",4
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","cbrn","AcknowledgementID","cbrn:AcknowledgementID","0","unbounded","",5
"cbrn","AcknowledgementDataType","cbrn:AcknowledgementDataType","cbrn","CredentialsAuthenticationAbstract","cbrn:CredentialsAuthenticationAbstract","0","unbounded","",6
